"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Fowler, Dexter",451594,2019,574,24.7,12.9,".326",".340",40.6,7.4,28.7,"96.524358779","92.292498076",27.1,42.9
"Braun, Ryan",460075,2019,508,20.7,6.7,".354",".339",33.3,9.5,45.3,"102.052932898","95.456152393",24.9,51.6
"Longoria, Evan",446334,2019,508,22,8.5,".322",".351",35.8,7.5,40.8,"99.366085607","93.904958902",25.7,46.8
"Jones, Adam",430945,2019,528,19.1,5.9,".308",".319",31.3,6.7,31,"97.264484508","92.647410494",26.7,54.5
"Santana, Domingo",570267,2019,507,32.3,9.9,".326",".342",40.1,12.1,42.1,"100.050234643","94.228038964",31.9,46.8
"Moran, Colin",592567,2019,503,23.3,6,".315",".314",37.1,7.4,34.8,"98.556321897","93.372829654",24.7,53.7
"Freeman, Freddie",518692,2019,692,18.4,12.6,".387",".397",40,12.3,42.5,"100.291077106","94.346356255",24.3,52.1
"Alberto, Hanser",593643,2019,550,9.1,2.9,".318",".300",32.5,2.9,18.5,"94.197573506","91.107926269",14.5,59.1
"Ozuna, Marcell",542303,2019,549,20.8,11.3,".336",".375",32.8,12.1,49.2,"102.910036923","95.876849368",27.6,44.9
"Grandal, Yasmani",518735,2019,632,22,17.2,".361",".366",37.5,11.3,41.8,"101.083447676","94.798444108",25.5,38.5
"Gurriel Jr., Yuli",493329,2019,612,10.6,6,".364",".321",33.5,3.6,38.1,"99.115304494","93.675495972",14.8,49.7
